Penalty Type                  P1      P2      P3      OT   Total
Shooting_after_Whistle     0.000   0.500   0.000   0.500       2
Misconduct                 0.097   0.431   0.431   0.042      72
Roughing                   0.237   0.398   0.344   0.021     334
Elbowing                   0.280   0.370   0.340   0.010     100
Slashing                   0.319   0.311   0.362   0.009     235
Tripping                   0.289   0.360   0.343   0.008     394
Cross-Checking             0.316   0.372   0.306   0.005     196
Spearing                   0.000   0.000   1.000   0.000       2
Obscene_Language           0.000   0.000   1.000   0.000       1
Clipping                   0.000   0.000   1.000   0.000       1
Abuse_of_Officials         0.000   0.000   1.000   0.000       1
Handling_Puck_with_Hands   0.000   0.000   1.000   0.000       1
Disqualification           0.000   0.429   0.571   0.000       7
Face-Masking               0.174   0.348   0.478   0.000      23
Embellishment              0.150   0.400   0.450   0.000      20
Contact_to_the_Head        0.200   0.360   0.440   0.000      25
Unsportsmanlike_Conduct    0.167   0.417   0.417   0.000      36
Game_Misconduct            0.224   0.373   0.403   0.000      67
Hitting_after_Whistle      0.186   0.441   0.373   0.000      59
Boarding                   0.313   0.354   0.333   0.000     195
Diving                     0.333   0.333   0.333   0.000       3
High-Sticking              0.356   0.317   0.327   0.000     101
Holding                    0.268   0.408   0.324   0.000     179
Checking_from_Behind       0.318   0.364   0.318   0.000      22
Goaltender_Interference    0.333   0.367   0.300   0.000      30
Charging                   0.347   0.367   0.286   0.000      49
Too_Many_Players           0.238   0.476   0.286   0.000      42
Hooking                    0.333   0.384   0.283   0.000     315
Interference               0.349   0.394   0.257   0.000     315
Hitting_from_Behind        0.296   0.451   0.254   0.000      71
Holding_the_Stick          0.320   0.440   0.240   0.000      25
Kneeing                    0.200   0.600   0.200   0.000      15
Delay_of_Game              0.143   0.857   0.000   0.000       7
Charging_the_Goalie        0.750   0.250   0.000   0.000       4
Checking                   0.500   0.500   0.000   0.000       2
Kicking                    0.000   1.000   0.000   0.000       1
Leaving_Bench              0.000   1.000   0.000   0.000       1
Tripping_the_Goalie        0.000   1.000   0.000   0.000       1
Butt-Ending                0.000   1.000   0.000   0.000       1
